,,,Date,Sale Amount,Deed Type,Book/Page,Sale Type,Qualified,Built,Bed,Bath,Living,Acres,Pool,,
,Subdivision: SUTTON PLACE TOWNHOMES A REPLAT - 65 items,,,,,,,,,,,,,,,
,,,Address: 216 SILVERGLEN LN - 3 items,,,,,,,,,,,,,
,,,10/2014,"$188,000",WARRANTY DEED,08362/1769,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,06/2011,"$144,800",SPECIAL WARRANTY DEED,07593/1094,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,11/2021,"$310,000",WARRANTY DEED,10122/0352,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0570 - 1 item,,,,,,,,,,,,,,
,,,Address: 220 MAPLEBROOK DR - 3 items,,,,,,,,,,,,,
,,,05/2014,"$173,500",WARRANTY DEED,08275/0808,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,10/2010,"$143,900",SPECIAL WARRANTY DEED,07460/0345,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,03/2019,"$173,500",WARRANTY DEED,09336/0251,Improved,No,2010,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0580 - 1 item,,,,,,,,,,,,,,
,,,Address: 218 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,02/2011,"$130,000",SPECIAL WARRANTY DEED,07528/0687,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,05/2020,"$240,000",WARRANTY DEED,09606/1735,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0590 - 1 item,,,,,,,,,,,,,,
,,,Address: 216 MAPLEBROOK DR - 6 items,,,,,,,,,,,,,
,,,06/2017,"$196,000",WARRANTY DEED,08932/0530,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,10/2016,"$190,000",WARRANTY DEED,08802/0472,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,02/2011,"$130,000",SPECIAL WARRANTY DEED,07530/0500,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,01/2018,$100,QUIT CLAIM DEED,09069/1389,Improved,No,2010,3,2.5,1572,0.03,false,,
,,,03/2018,"$199,700",WARRANTY DEED,09107/0483,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,04/2021,"$241,900",WARRANTY DEED,09898/1184,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0600 - 1 item,,,,,,,,,,,,,,
,,,Address: 214 MAPLEBROOK DR - 1 item,,,,,,,,,,,,,
,,,02/2011,"$132,000",SPECIAL WARRANTY DEED,07530/0298,Improved,No,2010,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0A00-0000 - 1 item,,,,,,,,,,,,,,
,,,Address: 200 BALLEY FLATS DR - 1 item,,,,,,,,,,,,,
,,,07/2008,$100,SPECIAL WARRANTY DEED,07031/0636,Vacant,No,2008,0,0.5,210,2.55,true,,
,,Parcel #: 16-21-29-531-0B00-0000 - 1 item,,,,,,,,,,,,,,
,,,Address:  - 1 item,,,,,,,,,,,,,
,,,07/2008,$100,SPECIAL WARRANTY DEED,07031/0636,Vacant,No,,,,,0.20,false,,
,,Parcel #: 16-21-29-531-0C00-0000 - 1 item,,,,,,,,,,,,,,
,,,Address:  - 1 item,,,,,,,,,,,,,
,,,07/2008,$100,SPECIAL WARRANTY DEED,07031/0636,Vacant,No,,,,,0.10,false,,
,,Parcel #: 16-21-29-531-0D00-0000 - 1 item,,,,,,,,,,,,,,
,,,Address:  - 1 item,,,,,,,,,,,,,
,,,07/2008,$100,SPECIAL WARRANTY DEED,07031/0636,Vacant,No,,,,,0.07,false,,
,,Parcel #: 16-21-29-531-0E00-0000 - 1 item,,,,,,,,,,,,,,
,,,Address:  - 1 item,,,,,,,,,,,,,
,,,07/2008,$100,SPECIAL WARRANTY DEED,07031/0636,Vacant,No,,,,,1.13,false,,
